reviewStatus,compilerDecision,compilerNotes,chapter,gapRank,gapNeed,candidateDisposition,candidateId,lane,queueBucket,priority,date,title,whyConsider,selectedContextMatches,peopleOrSignals,score,naid,sourceSeries,sourceNote,researchNote,catalogUrl,pdfUrl
,,,Greece,711,Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices.,Potential gap-fill addition,RS 001-012,Requested source pool: Scowcroft Papers,High-value source pool,High-value EastMed lead,,Other (July 1989),Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices. High-value source pool Greece | Greek | Papandreou | Cyprus | Cypriot | Vassiliou | Denktash | Turkish | Ozal | memcon No selected-document crosswalk match above threshold.,,Greece | Greek | Papandreou | Cyprus | Cypriot | Vassiliou | Denktash | Turkish | Ozal | memcon,141,366551995,Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Chronological Files, Other (July 1989).","Catalog provenance: Catalog access Restricted - Possibly; NAID 366551995. Query hit(s): Greece, Greek, Papandreou, Cyprus, Cypriot, Vassiliou, Denktash, Turkish, Ozal, memcon, memorandum of conversation. Digital object: 41-bpr-scow-chron-91148-006.pdf. Catalog: https://catalog.archives.gov/id/366551995.",https://catalog.archives.gov/id/366551995,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4708326/41-bpr-scow-chron-91148-006.pdf
,,,Greece,707,Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices.,Context for selected record; screen for additional documents,RS 001-005,Requested source pool: Scowcroft Papers,High-value source pool,High-value EastMed lead,,Presidential Telephone Calls--Memorandum of Conversations 8/22/90-10/5/90,"Supplemental check: 14 selected records; screen high-signal source packets for missed context or appendices. High-value source pool Greece | Greek | Mitsotakis | Cyprus | Vassiliou | Turkey | Turkish | Ozal | Eastern Mediterranean | Greece / Turkey / Cyprus Already crosswalks to Doc 1.005, Doc 2.002, Doc 3.018, Doc 3.019, Doc 3.020, Doc 3.021; open for surrounding or enclosed material.",Doc 1.005; Doc 2.002; Doc 3.018; Doc 3.019; Doc 3.020; Doc 3.021,Greece | Greek | Mitsotakis | Cyprus | Vassiliou | Turkey | Turkish | Ozal | Eastern Mediterranean | Greece / Turkey / Cyprus,172,366551694,Presidential Correspondence Files,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 8/22/90-10/5/90.","Catalog provenance: Catalog access Restricted - Possibly; NAID 366551694. Query hit(s): Greece, Greek, Mitsotakis, Cyprus, Vassiliou, Turkey, Turkish, Ozal, Eastern Mediterranean, Greece / Turkey / Cyprus, telcon, memorandum of conversation, telephone conversation. Digital object: 41-bpr-scow-pcor-telcon-91112-002.pdf. Catalog: https://catalog.archives.gov/id/366551694.",https://catalog.archives.gov/id/366551694,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-telcon-91112-002.pdf
,,,Cyprus,1122,Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads.,Potential gap-fill addition,CC 021,Central Chronological Files,Open first,Open packet first,1992-01-01,January 1992 [2],Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads. Open first 01. Memorandum To: Brent Scowcroft From: Jane Holl 1/30/92 (b1) vA Re: Cyprus (2 pp.) | 07. Memorandum To: Brent Scowcroft From: Jane Holl 1/28/92 (bl) Re: Cyprus (2 pp.) | To: Brent Scowcroft From: Jane Holl Re: Meet... No selected-document crosswalk match above threshold.,,01. Memorandum To: Brent Scowcroft From: Jane Holl 1/30/92 (b1) vA Re: Cyprus (2 pp.) | 07. Memorandum To: Brent Scowcroft From: Jane Holl 1/28/92 (bl) Re: Cyprus (2 pp.) | To: Brent Scowcroft From: Jane Holl Re: Meeting with Greek Foreign Minister (2 pp.) | Mitsotakis + telcon | Mitsotakis + memorandum of conversation | Vassiliou + telcon | Cyprus / Denktash / Vassiliou | Denktash + memorandum | Demirel + telcon | Greek-Turkish + memorandum | Greece / Turkey / Cyprus + telcon,187,470761791,European and Eurasian Directorate Central Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, European and Eurasian Directorate Central Chronological Files, January 1992 [2].","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761791. Query hit(s): Mitsotakis + telcon, Mitsotakis + memorandum of conversation, Vassiliou + telcon, Cyprus / Denktash / Vassiliou, Denktash + memorandum, Demirel + telcon, Greek-Turkish + memorandum, Greece / Turkey / Cyprus + telcon, Cyprus + memorandum of conversation, Turkey + memorandum of conversation. OCR status: First four pages OCR reviewed. OCR signals: 01. Memorandum To: Brent Scowcroft From: Jane Holl 1/30/92 (b1) vA Re: Cyprus (2 pp.) | 07. Memorandum To: Brent Scowcroft From: Jane Holl 1/28/92 (bl) Re: Cyprus (2 pp.) | To: Brent Scowcroft From: Jane Holl Re: Meeting with Greek Foreign Minister (2 pp.). PDF extent: 91 pages. Digital object: 41-bpr-nsc-euro_eura-cen_chron-30522-006.pdf. Catalog: https://catalog.archives.gov/id/470761791.",https://catalog.archives.gov/id/470761791,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30522-006.pdf
,,,Cyprus,1067,Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads.,Context for selected record; screen for additional documents,CC 028,Central Chronological Files,Open first,Open packet first,1991-08-01,August 1991 [2],Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads. Open first 02b. Memorandum To: Brent Scowcroft From: David Gompert 8/3/91 (b)(1) S Re: Cyprus (2 pp.) | 04. Memorandum To: Brent Scowcroft From: David Gompert 8/5/91 (b)(1) S Re: Cyprus (1 pp.) | 05a. Memorandum To: Brent Scowcr... Already crosswalks to Doc 3.054; open for surrounding or enclosed material.,Doc 3.054,02b. Memorandum To: Brent Scowcroft From: David Gompert 8/3/91 (b)(1) S Re: Cyprus (2 pp.) | 04. Memorandum To: Brent Scowcroft From: David Gompert 8/5/91 (b)(1) S Re: Cyprus (1 pp.) | 05a. Memorandum To: Brent Scowcroft From: David Gompert 8/2/91 yt) go Re: Presidential Message to Vassiliou (1 pp.) | Vassiliou + memcon | Vassiliou + telcon | Cyprus / Denktash / Vassiliou | Denktash + memorandum | Ozal + memcon | Ozal + telcon | Greek-Turkish + memorandum | Cyprus + memorandum of conversation,167,470761771,European and Eurasian Directorate Central Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, European and Eurasian Directorate Central Chronological Files, August 1991 [2].","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761771. Query hit(s): Vassiliou + memcon, Vassiliou + telcon, Cyprus / Denktash / Vassiliou, Denktash + memorandum, Ozal + memcon, Ozal + telcon, Greek-Turkish + memorandum, Cyprus + memorandum of conversation, Turkey + memorandum of conversation. OCR status: First four pages OCR reviewed. OCR signals: 02b. Memorandum To: Brent Scowcroft From: David Gompert 8/3/91 (b)(1) S Re: Cyprus (2 pp.) | 04. Memorandum To: Brent Scowcroft From: David Gompert 8/5/91 (b)(1) S Re: Cyprus (1 pp.) | 05a. Memorandum To: Brent Scowcroft From: David Gompert 8/2/91 yt) go Re: Presidential Message to Vassiliou (1 pp.). PDF extent: 144 pages. Digital object: 41-bpr-nsc-euro_eura-cen_chron-30519-001.pdf. Catalog: https://catalog.archives.gov/id/470761771.",https://catalog.archives.gov/id/470761771,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30519-001.pdf
,,,Cyprus,1066,Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads.,Context for selected record; screen for additional documents,CC 029,Central Chronological Files,Open first,Open packet first,1992-12-01,December 1992 [4],"Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads. Open first 02h. Paper Maintaining Our New Strategic Relationship with Turkey (1 pp.) n.d. (bX 1) vA | 02i. Paper Settline the Cyprus Problem (1 pp.) n.d. ot ) vA | 02j. Paper Bosnia (1 pp.) n.d. (yf) g | Vassiliou + telcon | Cyp... Already crosswalks to Doc 3.065, Doc 3.066; open for surrounding or enclosed material.",Doc 3.065; Doc 3.066,02h. Paper Maintaining Our New Strategic Relationship with Turkey (1 pp.) n.d. (bX 1) vA | 02i. Paper Settline the Cyprus Problem (1 pp.) n.d. ot ) vA | 02j. Paper Bosnia (1 pp.) n.d. (yf) g | Vassiliou + telcon | Cyprus / Denktash / Vassiliou | Denktash + memorandum | Ozal + telcon | Demirel + telcon | Greek-Turkish + memorandum | Greece / Turkey / Cyprus + telcon | Cyprus + memorandum of conversation,166,470761838,European and Eurasian Directorate Central Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, European and Eurasian Directorate Central Chronological Files, December 1992 [4].","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761838. Query hit(s): Vassiliou + telcon, Cyprus / Denktash / Vassiliou, Denktash + memorandum, Ozal + telcon, Demirel + telcon, Greek-Turkish + memorandum, Greece / Turkey / Cyprus + telcon, Cyprus + memorandum of conversation, Turkey + memorandum of conversation. OCR status: First four pages OCR reviewed. OCR signals: 02h. Paper Maintaining Our New Strategic Relationship with Turkey (1 pp.) n.d. (bX 1) vA | 02i. Paper Settline the Cyprus Problem (1 pp.) n.d. ot ) vA | 02j. Paper Bosnia (1 pp.) n.d. (yf) g. PDF extent: 192 pages. Digital object: 41-bpr-nsc-euro_eura-cen_chron-30531-004.pdf. Catalog: https://catalog.archives.gov/id/470761838.",https://catalog.archives.gov/id/470761838,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30531-004.pdf
,,,Cyprus,1035,Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads.,Context for selected record; screen for additional documents,BC 003,Blackwill Chronological Files,Open first,Open packet first,1989-05-01,May 1989 [7],"Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads. Open first Subject: Request for Bilateral with Greek Prime | Minister Papandreou | under the auspices of the U.N. Secretary General, between Cypriot | Greece | Greek | Papandreou | Cyprus | Cypriot | Vassiliou | Vassiliou + Cypr... Already crosswalks to Doc 1.001, Doc 3.002; open for surrounding or enclosed material.",Doc 1.001; Doc 3.002,"Subject: Request for Bilateral with Greek Prime | Minister Papandreou | under the auspices of the U.N. Secretary General, between Cypriot | Greece | Greek | Papandreou | Cyprus | Cypriot | Vassiliou | Vassiliou + Cyprus | Denktash",205,453248079,Robert D. Blackwill Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert D. Blackwill Chronological Files, May 1989 [7].","Catalog provenance: Catalog access Restricted - Possibly; NAID 453248079. Query hit(s): Greece, Greek, Papandreou, Cyprus, Cypriot, Vassiliou, Vassiliou + Cyprus, Denktash, Turkey, Turkish, Ozal, Ozal + Turkey, Greece / Turkey / Cyprus, memorandum of conversation, telephone conversation. OCR status: Full PDF OCR reviewed. OCR signals: Subject: Request for Bilateral with Greek Prime | Minister Papandreou | under the auspices of the U.N. Secretary General, between Cypriot. PDF extent: 133 pages. Digital object: 41-bpr-nsc-blackwill_chron-30544-003.pdf. Catalog: https://catalog.archives.gov/id/453248079.",https://catalog.archives.gov/id/453248079,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/blackwill/chron_2554659/41-bpr-nsc-blackwill_chron-30544-003.pdf
,,,Cyprus,1017,Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads.,Potential gap-fill addition,BC 007,Blackwill Chronological Files,Open first,Open packet first,1989-03-01,March 1989 [4],"Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads. Open first When President Vassiliou was elected in February 1988, he evoked | high expectations that he would take a fresh look at the Cyprus | problem. He met with then-President Reagan in August and has had | Cyprus | Cypriot ... No selected-document crosswalk match above threshold.",,"When President Vassiliou was elected in February 1988, he evoked | high expectations that he would take a fresh look at the Cyprus | problem. He met with then-President Reagan in August and has had | Cyprus | Cypriot | Vassiliou | Vassiliou + Cyprus | Denktash | Turkey | Turkish | Ozal",152,453248061,Robert D. Blackwill Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert D. Blackwill Chronological Files, March 1989 [4].","Catalog provenance: Catalog access Restricted - Possibly; NAID 453248061. Query hit(s): Cyprus, Cypriot, Vassiliou, Vassiliou + Cyprus, Denktash, Turkey, Turkish, Ozal, Ozal + Turkey, memorandum of conversation, telephone conversation. OCR status: Full PDF OCR reviewed. OCR signals: When President Vassiliou was elected in February 1988, he evoked | high expectations that he would take a fresh look at the Cyprus | problem. He met with then-President Reagan in August and has had. PDF extent: 63 pages. Digital object: 41-bpr-nsc-blackwill_chron-30541-003.pdf. Catalog: https://catalog.archives.gov/id/453248061.",https://catalog.archives.gov/id/453248061,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/blackwill/chron_2554659/41-bpr-nsc-blackwill_chron-30541-003.pdf
,,,Cyprus,1011,Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads.,Context for selected record; screen for additional documents,CC 055,Central Chronological Files,Open first,Open packet first,1990-08-01,August 1990 [7],"Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads. Open first 06a. Letter To: President Vassiliou From: President Bush 8/9/90 (b)(1) Re: Cyprus (2 pp.) | 06b. Cable To: Distribution List From: AmEmbassy Nicosia 6/7/90 (b)(1) C Re: Vassiliou Letter to President Bush on Summit (1 ... Already crosswalks to Doc 2.002, Doc 3.011, Doc 3.012, Doc 3.013, Doc 3.014, Doc 3.015, Doc 3.016, Doc 3.017, Doc 3.018; open for surrounding or enclosed material.",Doc 2.002; Doc 3.011; Doc 3.012; Doc 3.013; Doc 3.014; Doc 3.015; Doc 3.016; Doc 3.017; Doc 3.018,06a. Letter To: President Vassiliou From: President Bush 8/9/90 (b)(1) Re: Cyprus (2 pp.) | 06b. Cable To: Distribution List From: AmEmbassy Nicosia 6/7/90 (b)(1) C Re: Vassiliou Letter to President Bush on Summit (1 pp.) | 06c. Cable To: Distribution List From: AmEmbassy Nicosia 5/21/90 (b)(1) C Re: Vassiliou Letter to President Bush on Summit (2 pp.) | Vassiliou + telcon | Ozal + telcon | Greek-Turkish + memorandum | Greece / Turkey / Cyprus + telcon | Cyprus + memorandum of conversation | Turkey + memorandum of conversation,111,470761713,European and Eurasian Directorate Central Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, European and Eurasian Directorate Central Chronological Files, August 1990 [7].","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761713. Query hit(s): Vassiliou + telcon, Ozal + telcon, Greek-Turkish + memorandum, Greece / Turkey / Cyprus + telcon, Cyprus + memorandum of conversation, Turkey + memorandum of conversation. OCR status: First four pages OCR reviewed. OCR signals: 06a. Letter To: President Vassiliou From: President Bush 8/9/90 (b)(1) Re: Cyprus (2 pp.) | 06b. Cable To: Distribution List From: AmEmbassy Nicosia 6/7/90 (b)(1) C Re: Vassiliou Letter to President Bush on Summit (1 pp.) | 06c. Cable To: Distribution List From: AmEmbassy Nicosia 5/21/90 (b)(1) C Re: Vassiliou Letter to President Bush on Summit (2 pp.). PDF extent: 133 pages. Digital object: 41-bpr-nsc-euro_eura-cen_chron-30509-004.pdf. Catalog: https://catalog.archives.gov/id/470761713.",https://catalog.archives.gov/id/470761713,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30509-004.pdf
,,,Cyprus,1010,Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads.,Context for selected record; screen for additional documents,CC 057,Central Chronological Files,Open first,Open packet first,1990-08-01,August 1990 [5],"Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads. Open first : Brent Scowcroft From: Nicholas Burns | : Presidential Letter to President Vassiliou (2 pp.) | : President Vassiliou From: President Bush | Vassiliou + memcon | Vassiliou + telcon | Ozal + memcon | Ozal + telcon | Cy... Already crosswalks to Doc 2.002, Doc 3.011, Doc 3.012, Doc 3.013, Doc 3.014, Doc 3.015, Doc 3.016, Doc 3.017, Doc 3.018; open for surrounding or enclosed material.",Doc 2.002; Doc 3.011; Doc 3.012; Doc 3.013; Doc 3.014; Doc 3.015; Doc 3.016; Doc 3.017; Doc 3.018,: Brent Scowcroft From: Nicholas Burns | : Presidential Letter to President Vassiliou (2 pp.) | : President Vassiliou From: President Bush | Vassiliou + memcon | Vassiliou + telcon | Ozal + memcon | Ozal + telcon | Cyprus + memorandum of conversation | Turkey + memorandum of conversation,110,470761711,European and Eurasian Directorate Central Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, European and Eurasian Directorate Central Chronological Files, August 1990 [5].","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761711. Query hit(s): Vassiliou + memcon, Vassiliou + telcon, Ozal + memcon, Ozal + telcon, Cyprus + memorandum of conversation, Turkey + memorandum of conversation. OCR status: First four pages OCR reviewed. OCR signals: : Brent Scowcroft From: Nicholas Burns | : Presidential Letter to President Vassiliou (2 pp.) | : President Vassiliou From: President Bush. PDF extent: 129 pages. Digital object: 41-bpr-nsc-euro_eura-cen_chron-30509-002.pdf. Catalog: https://catalog.archives.gov/id/470761711.",https://catalog.archives.gov/id/470761711,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30509-002.pdf
,,,Cyprus,992,Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads.,Context for selected record; screen for additional documents,CC 065,Central Chronological Files,Open first,Open packet first,1989-11-01,November 1989 [2],Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads. Open first 13a. Memorandum To: Brent Scowcroft From: Robert Hutchings 11/15/89 (1) Re: Message to Vassiliou (1 pp.) | 13b. Letter To: President Vassiliou From: President Bush n.d. (b)(1) Re: Cyprus (1 pp.) | Zolotas + telcon | V... Already crosswalks to Doc 1.003; open for surrounding or enclosed material.,Doc 1.003,13a. Memorandum To: Brent Scowcroft From: Robert Hutchings 11/15/89 (1) Re: Message to Vassiliou (1 pp.) | 13b. Letter To: President Vassiliou From: President Bush n.d. (b)(1) Re: Cyprus (1 pp.) | Zolotas + telcon | Vassiliou + telcon | Greece / Turkey / Cyprus + telcon | Cyprus + memorandum of conversation | Turkey + memorandum of conversation,92,470761667,European and Eurasian Directorate Central Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, European and Eurasian Directorate Central Chronological Files, November 1989 [2].","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761667. Query hit(s): Zolotas + telcon, Vassiliou + telcon, Greece / Turkey / Cyprus + telcon, Cyprus + memorandum of conversation, Turkey + memorandum of conversation. OCR status: First four pages OCR reviewed. OCR signals: 13a. Memorandum To: Brent Scowcroft From: Robert Hutchings 11/15/89 (1) Re: Message to Vassiliou (1 pp.) | 13b. Letter To: President Vassiliou From: President Bush n.d. (b)(1) Re: Cyprus (1 pp.). PDF extent: 129 pages. Digital object: 41-bpr-nsc-euro_eura-cen_chron-30502-002.pdf. Catalog: https://catalog.archives.gov/id/470761667.",https://catalog.archives.gov/id/470761667,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30502-002.pdf
,,,Cyprus,977,Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads.,Context for selected record; screen for additional documents,RS 001-001,Requested source pool: Scowcroft Papers,High-value source pool,High-value EastMed lead,,Presidential Meetings--Memorandum of Conversations 7/11/91-7/22/91,"Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads. High-value source pool Greece | Greek | Papandreou | Mitsotakis | Cyprus | Cypriot | Vassiliou | Denktash | Turkey | Turkish Already crosswalks to Doc 1.008, Doc 3.050, Doc 3.051, Doc 3.052, Doc 3.053; open for surrounding or enclosed material.",Doc 1.008; Doc 3.050; Doc 3.051; Doc 3.052; Doc 3.053,Greece | Greek | Papandreou | Mitsotakis | Cyprus | Cypriot | Vassiliou | Denktash | Turkey | Turkish,252,366551676,Presidential Correspondence Files,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 7/11/91-7/22/91.","Catalog provenance: Catalog access Restricted - Possibly; NAID 366551676. Query hit(s): Greece, Greek, Papandreou, Mitsotakis, Cyprus, Cypriot, Vassiliou, Denktash, Turkey, Turkish, Ozal, Yilmaz, PKK, Aegean, Eastern Mediterranean, Greece / Turkey / Cyprus, memcon, memorandum of conversation. Digital object: 41-bpr-scow-pcor-memcon-91109-001.pdf. Catalog: https://catalog.archives.gov/id/366551676.",https://catalog.archives.gov/id/366551676,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91109-001.pdf
,,,Cyprus,934,Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads.,Potential gap-fill addition,RS 001-004,Requested source pool: Scowcroft Papers,High-value source pool,High-value EastMed lead,,Presidential Meetings--Memorandum of Conversations 2/1/92-2/27/92,Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads. High-value source pool Greece | Greek | Mitsotakis | Cyprus | Denktash | Turkey | Turkish | Demirel | PKK | Aegean No selected-document crosswalk match above threshold.,,Greece | Greek | Mitsotakis | Cyprus | Denktash | Turkey | Turkish | Demirel | PKK | Aegean,174,366551681,Presidential Correspondence Files,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 2/1/92-2/27/92.","Catalog provenance: Catalog access Restricted - Possibly; NAID 366551681. Query hit(s): Greece, Greek, Mitsotakis, Cyprus, Denktash, Turkey, Turkish, Demirel, PKK, Aegean, Greece / Turkey / Cyprus, memcon, memorandum of conversation. Digital object: 41-bpr-scow-pcor-memcon-91109-006.pdf. Catalog: https://catalog.archives.gov/id/366551681.",https://catalog.archives.gov/id/366551681,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91109-006.pdf
,,,Cyprus,922,Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads.,Context for selected record; screen for additional documents,RS 001-002,Requested source pool: Scowcroft Papers,High-value source pool,High-value EastMed lead,,Presidential Meetings--Memorandum of Conversations 7/9/92-12/22/92,"Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads. High-value source pool Greece | Greek | Papandreou | Mitsotakis | Cyprus | Cypriot | Vassiliou | Denktash | Clerides | Demirel Already crosswalks to Doc 1.013, Doc 1.014, Doc 3.063; open for surrounding or enclosed material.",Doc 1.013; Doc 1.014; Doc 3.063,Greece | Greek | Papandreou | Mitsotakis | Cyprus | Cypriot | Vassiliou | Denktash | Clerides | Demirel,197,366551685,Presidential Correspondence Files,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 7/9/92-12/22/92.","Catalog provenance: Catalog access Restricted - Possibly; NAID 366551685. Query hit(s): Greece, Greek, Papandreou, Mitsotakis, Cyprus, Cypriot, Vassiliou, Denktash, Clerides, Demirel, PKK, Greece / Turkey / Cyprus, memcon, memorandum of conversation. Digital object: 41-bpr-scow-pcor-memcon-91110-002.pdf. Catalog: https://catalog.archives.gov/id/366551685.",https://catalog.archives.gov/id/366551685,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91110-002.pdf
,,,Cyprus,902,Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads.,Context for selected record; screen for additional documents,RS 001-003,Requested source pool: Scowcroft Papers,High-value source pool,High-value EastMed lead,,Presidential Meetings--Memorandum of Conversations 3/3/92-4/28/92,Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads. High-value source pool Greece | Greek | Mitsotakis | Cyprus | Cypriot | Vassiliou | Denktash | Turkish | Demirel | Eastern Mediterranean Already crosswalks to Doc 2.003; open for surrounding or enclosed material.,Doc 2.003,Greece | Greek | Mitsotakis | Cyprus | Cypriot | Vassiliou | Denktash | Turkish | Demirel | Eastern Mediterranean,177,366551682,Presidential Correspondence Files,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 3/3/92-4/28/92.","Catalog provenance: Catalog access Restricted - Possibly; NAID 366551682. Query hit(s): Greece, Greek, Mitsotakis, Cyprus, Cypriot, Vassiliou, Denktash, Turkish, Demirel, Eastern Mediterranean, Greece / Turkey / Cyprus, memcon, memorandum of conversation. Digital object: 41-bpr-scow-pcor-memcon-91109-007.pdf. Catalog: https://catalog.archives.gov/id/366551682.",https://catalog.archives.gov/id/366551682,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91109-007.pdf
,,,Cyprus,901,Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads.,Potential gap-fill addition,RS 001-012,Requested source pool: Scowcroft Papers,High-value source pool,High-value EastMed lead,,Other (July 1989),Thin selected chronology: 3 selected records versus 24 Central leads and 74 requested-pool leads. High-value source pool Greece | Greek | Papandreou | Cyprus | Cypriot | Vassiliou | Denktash | Turkish | Ozal | memcon No selected-document crosswalk match above threshold.,,Greece | Greek | Papandreou | Cyprus | Cypriot | Vassiliou | Denktash | Turkish | Ozal | memcon,141,366551995,Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Chronological Files, Other (July 1989).","Catalog provenance: Catalog access Restricted - Possibly; NAID 366551995. Query hit(s): Greece, Greek, Papandreou, Cyprus, Cypriot, Vassiliou, Denktash, Turkish, Ozal, memcon, memorandum of conversation. Digital object: 41-bpr-scow-chron-91148-006.pdf. Catalog: https://catalog.archives.gov/id/366551995.",https://catalog.archives.gov/id/366551995,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4708326/41-bpr-scow-chron-91148-006.pdf
